Short_Name,Full_Name
B01001e1,SEX BY AGE: Total: Total population -- (Estimate)
B01001e2,SEX BY AGE: Male: Total population -- (Estimate)
B01001e3,SEX BY AGE: Male: Under 5 years: Total population -- (Estimate)
B01001e4,SEX BY AGE: Male: 5 to 9 years: Total population -- (Estimate)
B01001e5,SEX BY AGE: Male: 10 to 14 years: Total population -- (Estimate)
B01001e6,SEX BY AGE: Male: 15 to 17 years: Total population -- (Estimate)
B01001e7,SEX BY AGE: Male: 18 and 19 years: Total population -- (Estimate)
B01001e8,SEX BY AGE: Male: 20 years: Total population -- (Estimate)
B01001e9,SEX BY AGE: Male: 21 years: Total population -- (Estimate)
B01001e10,SEX BY AGE: Male: 22 to 24 years: Total population -- (Estimate)
B01001e11,SEX BY AGE: Male: 25 to 29 years: Total population -- (Estimate)
B01001e12,SEX BY AGE: Male: 30 to 34 years: Total population -- (Estimate)
B01001e13,SEX BY AGE: Male: 35 to 39 years: Total population -- (Estimate)
B01001e14,SEX BY AGE: Male: 40 to 44 years: Total population -- (Estimate)
B01001e15,SEX BY AGE: Male: 45 to 49 years: Total population -- (Estimate)
B01001e16,SEX BY AGE: Male: 50 to 54 years: Total population -- (Estimate)
B01001e17,SEX BY AGE: Male: 55 to 59 years: Total population -- (Estimate)
B01001e18,SEX BY AGE: Male: 60 and 61 years: Total population -- (Estimate)
B01001e19,SEX BY AGE: Male: 62 to 64 years: Total population -- (Estimate)
B01001e20,SEX BY AGE: Male: 65 and 66 years: Total population -- (Estimate)
B01001e21,SEX BY AGE: Male: 67 to 69 years: Total population -- (Estimate)
B01001e22,SEX BY AGE: Male: 70 to 74 years: Total population -- (Estimate)
B01001e23,SEX BY AGE: Male: 75 to 79 years: Total population -- (Estimate)
B01001e24,SEX BY AGE: Male: 80 to 84 years: Total population -- (Estimate)
B01001e25,SEX BY AGE: Male: 85 years and over: Total population -- (Estimate)
B01001e26,SEX BY AGE: Female: Total population -- (Estimate)
B01001e27,SEX BY AGE: Female: Under 5 years: Total population -- (Estimate)
B01001e28,SEX BY AGE: Female: 5 to 9 years: Total population -- (Estimate)
B01001e29,SEX BY AGE: Female: 10 to 14 years: Total population -- (Estimate)
B01001e30,SEX BY AGE: Female: 15 to 17 years: Total population -- (Estimate)
B01001e31,SEX BY AGE: Female: 18 and 19 years: Total population -- (Estimate)
B01001e32,SEX BY AGE: Female: 20 years: Total population -- (Estimate)
B01001e33,SEX BY AGE: Female: 21 years: Total population -- (Estimate)
B01001e34,SEX BY AGE: Female: 22 to 24 years: Total population -- (Estimate)
B01001e35,SEX BY AGE: Female: 25 to 29 years: Total population -- (Estimate)
B01001e36,SEX BY AGE: Female: 30 to 34 years: Total population -- (Estimate)
B01001e37,SEX BY AGE: Female: 35 to 39 years: Total population -- (Estimate)
B01001e38,SEX BY AGE: Female: 40 to 44 years: Total population -- (Estimate)
B01001e39,SEX BY AGE: Female: 45 to 49 years: Total population -- (Estimate)
B01001e40,SEX BY AGE: Female: 50 to 54 years: Total population -- (Estimate)
B01001e41,SEX BY AGE: Female: 55 to 59 years: Total population -- (Estimate)
B01001e42,SEX BY AGE: Female: 60 and 61 years: Total population -- (Estimate)
B01001e43,SEX BY AGE: Female: 62 to 64 years: Total population -- (Estimate)
B01001e44,SEX BY AGE: Female: 65 and 66 years: Total population -- (Estimate)
B01001e45,SEX BY AGE: Female: 67 to 69 years: Total population -- (Estimate)
B01001e46,SEX BY AGE: Female: 70 to 74 years: Total population -- (Estimate)
B01001e47,SEX BY AGE: Female: 75 to 79 years: Total population -- (Estimate)
B01001e48,SEX BY AGE: Female: 80 to 84 years: Total population -- (Estimate)
B01001e49,SEX BY AGE: Female: 85 years and over: Total population -- (Estimate)
B01001Ae1,SEX BY AGE (WHITE ALONE): Total: People who are White alone -- (Estimate)
B01001Ae2,SEX BY AGE (WHITE ALONE): Male: People who are White alone -- (Estimate)
B01001Ae3,SEX BY AGE (WHITE ALONE): Male: Under 5 years: People who are White alone -- (Estimate)
B01001Ae4,SEX BY AGE (WHITE ALONE): Male: 5 to 9 years: People who are White alone -- (Estimate)
B01001Ae5,SEX BY AGE (WHITE ALONE): Male: 10 to 14 years: People who are White alone -- (Estimate)
B01001Ae6,SEX BY AGE (WHITE ALONE): Male: 15 to 17 years: People who are White alone -- (Estimate)
B01001Ae7,SEX BY AGE (WHITE ALONE): Male: 18 and 19 years: People who are White alone -- (Estimate)
B01001Ae8,SEX BY AGE (WHITE ALONE): Male: 20 to 24 years: People who are White alone -- (Estimate)
B01001Ae9,SEX BY AGE (WHITE ALONE): Male: 25 to 29 years: People who are White alone -- (Estimate)
B01001Ae10,SEX BY AGE (WHITE ALONE): Male: 30 to 34 years: People who are White alone -- (Estimate)
B01001Ae11,SEX BY AGE (WHITE ALONE): Male: 35 to 44 years: People who are White alone -- (Estimate)
B01001Ae12,SEX BY AGE (WHITE ALONE): Male: 45 to 54 years: People who are White alone -- (Estimate)
B01001Ae13,SEX BY AGE (WHITE ALONE): Male: 55 to 64 years: People who are White alone -- (Estimate)
B01001Ae14,SEX BY AGE (WHITE ALONE): Male: 65 to 74 years: People who are White alone -- (Estimate)
B01001Ae15,SEX BY AGE (WHITE ALONE): Male: 75 to 84 years: People who are White alone -- (Estimate)
B01001Ae16,SEX BY AGE (WHITE ALONE): Male: 85 years and over: People who are White alone -- (Estimate)
B01001Ae17,SEX BY AGE (WHITE ALONE): Female: People who are White alone -- (Estimate)
B01001Ae18,SEX BY AGE (WHITE ALONE): Female: Under 5 years: People who are White alone -- (Estimate)
B01001Ae19,SEX BY AGE (WHITE ALONE): Female: 5 to 9 years: People who are White alone -- (Estimate)
B01001Ae20,SEX BY AGE (WHITE ALONE): Female: 10 to 14 years: People who are White alone -- (Estimate)
B01001Ae21,SEX BY AGE (WHITE ALONE): Female: 15 to 17 years: People who are White alone -- (Estimate)
B01001Ae22,SEX BY AGE (WHITE ALONE): Female: 18 and 19 years: People who are White alone -- (Estimate)
B01001Ae23,SEX BY AGE (WHITE ALONE): Female: 20 to 24 years: People who are White alone -- (Estimate)
B01001Ae24,SEX BY AGE (WHITE ALONE): Female: 25 to 29 years: People who are White alone -- (Estimate)
B01001Ae25,SEX BY AGE (WHITE ALONE): Female: 30 to 34 years: People who are White alone -- (Estimate)
B01001Ae26,SEX BY AGE (WHITE ALONE): Female: 35 to 44 years: People who are White alone -- (Estimate)
B01001Ae27,SEX BY AGE (WHITE ALONE): Female: 45 to 54 years: People who are White alone -- (Estimate)
B01001Ae28,SEX BY AGE (WHITE ALONE): Female: 55 to 64 years: People who are White alone -- (Estimate)
B01001Ae29,SEX BY AGE (WHITE ALONE): Female: 65 to 74 years: People who are White alone -- (Estimate)
B01001Ae30,SEX BY AGE (WHITE ALONE): Female: 75 to 84 years: People who are White alone -- (Estimate)
